firstname,lastname,lastteam,age,height,weight,experience,careerfg,careerfg3,careerfg3a,careerfg3perc,careerfga,careerfgperc,careerftperc,careergamesplayed,careerminutes,careerppg,2013fg,2013fg3,2013fg3a,2013fg3perc,2013fga,2013fgperc,2013ftperc,2013gamesplayed,2013minutes,vol3ptcareer,vol3pt2013,usagecareer,usage2013,2014fg3perc
Quincy,Acy,New York Knicks,24,79,240,2.0,166,6,20,30.0,331,50.2,74.4,120,1787,3.6,66,4,15,26.7,141,46.8,66.0,63,848,0.01119194180190263,0.01768867924528302,4929.141666666666,1897.904761904762,20.358254316641023
Steven,Adams,Oklahoma City Thunder,21,84,255,1.0,192,0,1,0.0,368,52.2,55.1,112,1972,4.5,93,0,0,0.0,185,50.3,58.1,81,1197,0.0005070993914807302,0.0,6479.428571428572,2733.8888888888887,2.7900308904801276
Jeff,Adrien,Minnesota Timberwolves,28,79,245,4.0,259,0,2,0.0,542,47.8,62.4,149,2091,4.6,143,0,0,0.0,275,52.0,63.9,53,962,0.0009564801530368244,0.0,7606.187919463087,4991.509433962265,0.0
Arron,Afflalo,Denver Nuggets,29,77,215,7.0,2163,600,1548,38.8,4737,45.7,81.6,529,14682,11.3,464,128,300,42.7,1011,45.9,81.5,73,2552,0.10543522680833674,0.11755485893416928,131471.8979206049,35343.452054794514,35.05329955289971
Alexis,Ajinca,New Orleans Pelicans,26,86,248,4.0,263,12,37,32.4,518,50.8,77.3,148,1723,4.4,136,0,1,0.0,249,54.6,83.6,56,951,0.021474172954149738,0.0010515247108307043,6030.5,4228.553571428572,23.87659952338543
Cole,Aldrich,New York Knicks,26,83,250,4.0,149,0,0,0.0,268,55.6,80.2,155,1290,2.3,33,0,0,0.0,61,54.1,86.7,46,330,0.0,0.0,2230.451612903226,437.6086956521738,3.241834759326742
LaMarcus,Aldridge,Portland Trail Blazers,29,83,240,8.0,4715,39,148,26.4,9711,48.6,79.2,605,21475,19.1,652,3,15,20.0,1423,45.8,82.2,69,2499,0.006891734575087311,0.006002400960384154,344700.37190082646,51537.34782608696,21.82314329205369
Lavoy,Allen,Indiana Pacers,25,81,255,3.0,520,2,14,14.3,1109,46.9,70.1,215,4027,5.3,134,2,13,15.4,300,44.7,66.0,65,1071,0.0034765333995530174,0.012138188608776844,20771.82790697674,4943.076923076923,10.578272149966995
Ray,Allen,Miami Heat,39,77,205,18.0,8567,2973,7429,40.0,18955,45.2,89.4,1300,46344,18.9,240,116,309,37.5,543,44.2,90.5,73,1936,0.16030122561712412,0.15960743801652896,675731.1692307693,14400.657534246577,44.448904701602125
Tony,Allen,Memphis Grizzlies,32,76,213,10.0,1906,83,317,26.2,3996,47.7,73.1,624,13216,8.1,204,11,47,23.4,413,49.4,62.8,55,1278,0.023986077481840198,0.036776212832550864,84633.23076923077,9596.61818181818,20.548408868384666
Al-Farouq,Aminu,Dallas Mavericks,24,81,215,4.0,821,87,306,28.4,1859,44.2,72.6,331,7470,6.4,234,13,48,27.1,494,47.4,66.4,80,2045,0.04096385542168675,0.0234718826405868,41953.867069486405,12627.875,25.36776239189468
Lou,Amundson,Cleveland Cavaliers,32,81,225,8.0,524,0,2,0.0,1069,49.0,43.7,354,4427,3.6,16,0,0,0.0,32,50.0,25.0,19,185,0.00045177320984865596,0.0,13368.5395480226,311.57894736842104,0.0
Chris,Andersen,Miami Heat,36,82,245,12.0,1197,7,39,17.9,2258,53.0,65.0,613,10945,5.5,177,3,12,25.0,275,64.4,71.0,72,1396,0.003563270899954317,0.008595988538681949,40316.16639477977,5331.944444444444,7.683561073724441
Alan,Anderson,Brooklyn Nets,32,78,220,5.0,656,254,738,34.4,1647,39.8,82.5,242,5143,7.8,194,84,248,33.9,485,40.0,78.0,78,1773,0.14349601399961112,0.13987591652566272,35002.152892561986,11024.423076923076,29.458148355966056
James,Anderson,Philadelphia 76ers,25,78,210,4.0,458,173,525,33.0,1098,41.7,75.5,196,3600,6.3,309,115,351,32.8,717,43.1,72.6,80,2309,0.14583333333333334,0.15201385881333912,20167.34693877551,20694.4125,33.54214345918713
Ryan,Anderson,New Orleans Pelicans,26,82,240,6.0,1678,794,2086,38.1,3940,42.6,86.2,387,9774,12.5,155,67,164,40.9,354,43.8,95.2,22,795,0.21342336811950072,0.20628930817610064,99507.90697674418,12792.272727272728,43.337224798426114
Giannis,Antetokounmpo,Milwaukee Bucks,20,83,217,1.0,309,44,135,32.6,693,44.6,70.2,108,2747,8.3,173,41,118,34.7,418,41.4,68.3,77,1897,0.049144521295959226,0.06220347917764892,17626.583333333336,10298.0,27.62192875294437
Carmelo,Anthony,New York Knicks,30,80,240,11.0,7347,896,2602,34.4,16134,45.5,81.1,818,29874,25.2,743,167,415,40.2,1643,45.2,84.8,77,2982,0.08709914976233514,0.1391683433936955,589226.3031784841,63628.90909090909,33.36187392287867
Joel,Anthony,Detroit Pistons,32,81,245,7.0,349,0,0,0.0,694,50.3,65.6,414,6505,2.3,12,0,0,0.0,32,37.5,50.0,33,186,0.0,0.0,10904.51690821256,180.3636363636364,0.0
Pero,Antic,Atlanta Hawks,32,83,260,1.0,165,74,232,31.9,401,41.1,74.7,73,1306,6.5,123,56,171,32.7,294,41.8,75.8,50,925,0.1776416539050536,0.18486486486486486,7174.054794520548,5439.0,25.427258848175473
Trevor,Ariza,Houston Rockets,29,80,215,10.0,2378,646,1868,34.6,5538,42.9,70.1,660,18050,9.9,389,180,442,40.7,853,45.6,77.2,77,2723,0.10349030470914128,0.16232096951891295,151455.9090909091,30165.181818181816,32.60704581616759
Hilton,Armstrong,Golden State Warriors,30,83,235,6.0,347,2,7,28.6,693,50.1,58.2,292,3379,3.0,9,0,0,0.0,19,47.4,43.8,15,97,0.0020716188221367266,0.0,8019.339041095891,122.86666666666666,16.245747054259823
Darrell,Arthur,Denver Nuggets,26,81,235,6.0,960,51,166,30.7,2148,44.7,76.2,339,6092,6.6,162,24,64,37.5,410,39.5,85.5,68,1161,0.027248850952068287,0.05512489233419466,38600.637168141584,7000.147058823531,22.88319250087718
Omer,Asik,New Orleans Pelicans,28,84,255,4.0,661,0,1,0.0,1244,53.1,54.9,304,6066,5.7,101,0,0,0.0,190,53.2,61.9,48,968,0.00016485328058028358,0.0,24822.71052631579,3831.666666666667,0.0
Gustavo,Ayon,Atlanta Hawks,28,82,250,3.0,284,0,1,0.0,530,53.6,50.4,135,2252,4.7,52,0,0,0.0,102,51.0,40.0,26,429,0.0004440497335701599,0.0,8841.185185185186,1683.0,0.0
Jeff,Ayres,San Antonio Spurs,27,81,250,4.0,240,2,4,50.0,440,54.5,78.1,189,1999,3.0,101,0,0,0.0,174,58.0,69.1,73,952,0.002001000500250125,0.0,4653.756613756614,2269.150684931507,32.72367392295998
Chris,Babb,Boston Celtics,24,77,225,1.0,8,6,27,22.2,30,26.7,0.0,14,132,1.6,8,6,27,22.2,30,26.7,0.0,14,132,0.20454545454545456,0.20454545454545456,282.85714285714283,282.85714285714283,18.313360059978002
Luke,Babbitt,New Orleans Pelicans,25,81,225,4.0,267,176,453,38.9,699,38.2,72.7,179,2298,4.2,60,36,95,37.9,154,39.0,77.8,27,473,0.19712793733681466,0.20084566596194506,8973.754189944135,2697.851851851852,39.24995694555818
Leandro,Barbosa,Golden State Warriors,32,75,194,11.0,2929,877,2263,38.8,6370,46.0,81.9,673,15652,11.7,56,7,25,28.0,131,42.7,79.5,20,368,0.1445821620240225,0.06793478260869565,148147.45913818726,2410.4,39.795998731223996
Andrea,Bargnani,New York Knicks,29,84,245,8.0,2641,609,1714,35.5,6036,43.8,82.5,475,14388,15.0,222,30,108,27.8,502,44.2,82.4,42,1257,0.11912705031971088,0.08591885441527446,182833.6168421053,15024.142857142857,33.649421041035104
Harrison,Barnes,Golden State Warriors,22,80,225,2.0,663,147,406,36.2,1538,43.1,74.1,188,5160,9.6,271,66,190,34.7,679,39.9,71.8,78,2204,0.07868217054263565,0.08620689655172414,42213.1914893617,19186.102564102563,31.755877180140736
Matt,Barnes,Los Angeles Clippers,34,79,226,11.0,2154,680,2031,33.5,4794,44.9,73.2,732,16518,7.9,231,97,283,34.3,527,43.8,73.3,63,1735,0.12295677442789685,0.16311239193083574,108179.36065573769,14513.4126984127,30.810865644438145
Will,Barton,Portland Trail Blazers,23,78,175,2.0,206,22,109,20.2,523,39.4,76.7,130,1436,3.9,65,10,33,30.3,156,41.7,81.2,41,387,0.07590529247910864,0.08527131782945736,5777.13846153846,1472.4878048780488,23.125490030899698
Brandon,Bass,Boston Celtics,29,80,250,9.0,2030,2,26,7.7,4140,49.0,83.2,586,13072,8.9,352,2,6,33.3,725,48.6,85.8,82,2266,0.001988984088127295,0.00264783759929391,92351.67235494881,20034.756097560978,8.933329793690888
Nicolas,Batum,Portland Trail Blazers,26,80,200,6.0,1775,676,1872,36.1,3950,44.9,83.2,435,13283,11.4,381,145,402,36.1,819,46.5,80.3,82,2956,0.14093201836934427,0.13599458728010824,120615.74712643678,29523.9512195122,38.86911140976305
Jerryd,Bayless,Milwaukee Bucks,26,75,200,6.0,1197,294,830,35.4,2888,41.4,83.0,412,8250,8.4,248,76,212,35.8,617,40.2,79.7,72,1686,0.1006060606060606,0.1257413997627521,57830.097087378635,14448.083333333336,35.02768782498107
Aron,Baynes,San Antonio Spurs,28,82,260,2.0,173,1,2,50.0,341,50.7,82.1,99,1123,4.2,71,0,0,0.0,163,43.6,90.5,53,491,0.0017809439002671413,0.0,3868.111111111111,1510.0566037735848,30.799171311367065
Kent,Bazemore,Atlanta Hawks,25,77,201,2.0,213,60,181,33.1,521,40.9,60.8,152,1422,3.9,147,43,128,33.6,343,42.9,60.6,67,911,0.12728551336146274,0.14050493962678376,4874.092105263158,4663.776119402985,29.537532371034906
Bradley,Beal,Washington Wizards,21,77,207,2.0,874,264,655,40.3,2096,41.7,78.9,149,4935,15.6,481,138,343,40.2,1149,41.9,78.8,73,2530,0.13272543059777106,0.13557312252964426,69421.20805369128,39821.50684931507,39.651297325390274
Michael,Beasley,Memphis Grizzlies,24,81,235,6.0,2189,225,646,34.8,4861,45.0,75.8,409,10171,13.2,177,21,54,38.9,355,49.9,77.2,55,831,0.06351391210303806,0.06498194945848375,120883.2053789731,5363.727272727272,30.633906985513345
Marco,Belinelli,San Antonio Spurs,28,77,210,7.0,1573,602,1523,39.5,3646,43.1,81.3,463,10593,9.5,337,126,293,43.0,695,48.5,84.7,80,2016,0.14377419050316245,0.1453373015873016,83417.0151187905,17514.0,38.46579746425691
Anthony,Bennett,Minnesota Timberwolves,21,80,245,1.0,151,14,56,25.0,386,39.1,61.8,80,1106,4.7,80,13,53,24.5,225,35.6,63.8,52,663,0.05063291139240506,0.07993966817496229,5336.45,2868.75,20.39330873293139
Patrick,Beverley,Houston Rockets,26,73,210,2.0,346,170,450,37.8,834,41.5,79.1,113,3002,8.9,199,92,255,36.1,481,41.4,81.4,56,1751,0.14990006662225186,0.14563106796116504,22156.353982300887,15039.839285714284,34.969953705402176
Andris,Biedrins,Utah Jazz,27,84,250,9.0,1432,0,2,0.0,2409,59.4,50.0,516,11146,6.3,1,0,0,0.0,1,100.0,16.7,6,45,0.00017943656917279743,0.0,52036.267441860466,7.5,2.746488124802485
Chauncey,Billups,Detroit Pistons,38,75,210,17.0,4738,1830,4725,38.7,11413,41.5,89.4,1043,33008,15.2,24,14,48,29.2,79,30.4,83.3,19,309,0.14314711585070286,0.1553398058252427,361189.1697027804,1284.7894736842104,40.13890315102512
Bismack,Biyombo,Charlotte Hornets,22,81,245,3.0,405,0,0,0.0,821,49.3,50.0,244,5054,4.2,88,0,0,0.0,144,61.1,51.7,77,1072,0.0,0.0,17005.467213114753,2004.7792207792209,3.368812134674621
DeJuan,Blair,Washington Wizards,25,79,270,5.0,1192,0,8,0.0,2255,52.9,61.2,375,6697,7.3,210,0,2,0.0,393,53.4,63.6,78,1214,0.0011945647304763324,0.0016474464579901151,40271.293333333335,6116.6923076923085,3.4852835885052413
Steve,Blake,Portland Trail Blazers,34,75,172,11.0,1898,941,2434,38.7,4719,40.2,78.2,762,18996,6.8,133,79,210,37.6,353,37.7,76.7,55,1498,0.1281322383659718,0.14018691588785046,117640.58267716535,9614.436363636363,37.452356120000644
Andray,Blatche,Brooklyn Nets,28,83,260,9.0,2327,52,219,23.7,4981,46.7,72.5,564,12463,10.1,321,15,54,27.8,674,47.6,74.2,73,1618,0.01757201315895049,0.03337453646477132,110067.73581560283,14938.794520547946,18.69720853791215
Eric,Bledsoe,Phoenix Suns,25,73,195,4.0,939,149,465,32.0,2114,44.4,77.7,271,6294,9.5,265,50,140,35.7,556,47.7,77.2,43,1416,0.07387988560533841,0.09887005649717516,49097.845018450185,18309.20930232558,29.177597833582702
Vander,Blue,Washington Wizards,22,76,200,1.0,2,0,1,0.0,4,50.0,20.0,3,15,1.7,2,0,1,0.0,4,50.0,20.0,3,15,0.06666666666666668,0.06666666666666668,20.0,20.0,2.194268291176514
Keith,Bogans,Philadelphia 76ers,33,77,215,11.0,1482,714,2020,35.3,3759,39.4,71.6,671,14528,6.3,3,3,6,50.0,6,50.0,100.0,6,55,0.13904185022026433,0.10909090909090907,81387.11177347244,55.0,31.862654564166654
Andrew,Bogut,Golden State Warriors,30,84,260,9.0,2604,2,23,8.7,4932,52.8,56.1,527,16399,11.4,235,0,0,0.0,375,62.7,34.4,67,1769,0.001402524544179523,0.0,153472.23529411765,9901.119402985074,6.206661585914067
Matt,Bonner,San Antonio Spurs,34,82,235,10.0,1682,763,1831,41.7,3605,46.7,78.0,715,12659,6.2,73,42,98,42.9,164,44.5,75.0,61,690,0.1446401769492061,0.14202898550724638,63826.14685314685,1855.0819672131147,36.74865375394222
Trevor,Booker,Utah Jazz,27,80,230,4.0,734,9,36,25.0,1376,53.3,61.5,264,5339,6.5,222,0,2,0.0,403,55.1,61.8,72,1553,0.006742835737029406,0.00128783000643915,27827.515151515152,8692.486111111111,17.336236866669225
Carlos,Boozer,Los Angeles Lakers,33,81,258,12.0,5646,1,14,7.1,10805,52.3,72.4,819,25958,16.5,447,0,2,0.0,980,45.6,76.7,76,2141,0.0005393327683180522,0.0009341429238673515,342461.7704517705,27607.631578947367,9.391193838260582
Chris,Bosh,Miami Heat,30,83,235,11.0,5688,195,608,32.1,11445,49.7,80.0,819,29413,19.2,492,74,218,33.9,953,51.6,82.0,79,2531,0.02067113181246388,0.08613196365073092,411027.82051282044,30532.189873417723,27.51655476565856
Avery,Bradley,Boston Celtics,24,74,180,4.0,915,177,498,35.5,2099,43.6,78.3,232,5635,9.6,361,79,200,39.5,825,43.8,80.4,60,1855,0.08837622005323867,0.1078167115902965,50982.17672413794,25506.25,33.05311944190985
Elton,Brand,Atlanta Hawks,35,81,254,15.0,6537,2,19,10.5,13039,50.1,73.6,1014,34320,16.5,179,0,2,0.0,332,53.9,64.9,73,1414,0.0005536130536130537,0.0014144271570014145,441320.0,6430.7945205479455,12.833865964391425
Corey,Brewer,Houston Rockets,28,81,186,7.0,1889,320,1092,29.3,4411,42.8,70.1,493,12727,10.1,388,59,211,28.0,807,48.1,71.8,81,2609,0.08580183861082738,0.08087389804522806,113871.799188641,25993.370370370365,28.92817402931497
Ronnie,Brewer,Chicago Bulls,29,79,235,8.0,1554,90,355,25.4,3169,49.0,67.5,502,11539,7.8,3,1,8,12.5,15,20.0,0.0,24,160,0.030765230955888723,0.05,72842.81075697213,100.0,20.654153075470006
Aaron,Brooks,Chicago Bulls,29,72,161,6.0,1704,614,1656,37.1,4090,41.7,84.8,427,9973,11.1,233,96,248,38.7,581,40.1,87.4,72,1557,0.16604833049232928,0.15928066795118814,95525.92505854803,12564.125,40.32793441064639
MarShon,Brooks,Los Angeles Lakers,25,77,200,3.0,486,75,230,32.6,1100,44.2,74.8,164,2877,7.7,57,13,25,52.0,125,45.6,72.7,35,317,0.07994438651372958,0.07886435331230282,19296.951219512193,1132.142857142857,26.31799001798084
Lorenzo,Brown,Detroit Pistons,24,77,189,1.0,26,3,30,10.0,86,30.2,69.2,26,224,2.5,26,3,30,10.0,86,30.2,69.2,26,224,0.13392857142857142,0.13392857142857142,740.9230769230769,740.9230769230769,19.247791941938054
Shannon,Brown,Miami Heat,29,75,215,8.0,1198,276,831,33.2,2854,42.0,80.7,408,7329,7.6,24,0,2,0.0,66,36.4,71.4,29,251,0.11338518215309044,0.00796812749003984,51267.073529411755,571.2413793103449,34.40383921276433
Kobe,Bryant,Los Angeles Lakers,36,78,212,18.0,11280,1680,5041,33.3,24979,45.2,83.7,1272,46525,25.4,31,3,16,18.8,73,42.5,85.7,6,177,0.10835034927458356,0.0903954802259887,913638.3451257859,2153.5,39.15859837001105
