Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed
1,Kobe Bryant,LAL,"$23,500,000","$25,000,000",,,,,Bird Rights,"$48,500,000"
2,Amar'e Stoudemire,NYK,"$23,410,988",,,,,,,"$23,410,988"
3,Joe Johnson,BRK,"$23,180,790","$24,894,863",,,,,Bird Rights,"$48,075,653"
4,Carmelo Anthony,NYK,"$22,458,000","$22,875,000","$24,559,380","$26,243,760","$27,928,140",,Bird Rights,"$96,136,140"
5,Dwight Howard,HOU,"$21,436,271","$22,359,364","$23,282,457",,,,Cap Space,"$43,795,635"
6,Chris Bosh,MIA,"$20,644,400","$22,192,730","$23,741,060","$25,289,390","$26,837,720",,Bird Rights,"$118,705,300"
7,LeBron James,CLE,"$20,644,400","$21,573,398",,,,,Cap Space,"$20,644,400"
8,Chris Paul,LAC,"$20,068,563","$21,468,696","$22,868,828","$24,268,960",,,Bird Rights,"$64,406,087"
9,Deron Williams,BRK,"$19,754,465","$21,042,800","$22,331,135",,,,Bird Rights,"$40,797,265"
10,Brandon Roy,POR,"$19,317,326",,,,,,,
11,Rudy Gay,SAC,"$19,317,325","$12,403,101","$13,333,333","$14,263,566",,,Bird Rights,"$45,053,759"
12,Kevin Durant,OKC,"$18,995,624","$20,158,622",,,,,Bird Rights,"$39,154,246"
13,Derrick Rose,CHI,"$18,862,875","$20,093,063","$21,323,250",,,,Bird Rights,"$60,279,188"
14,Blake Griffin,LAC,"$17,674,612","$18,907,725","$20,140,838","$21,373,950",,,Bird Rights,"$78,097,125"
15,Zach Randolph,MEM,"$16,500,000","$9,638,555","$10,361,445",,,,Bird Rights,"$36,500,000"
16,LaMarcus Aldridge,POR,"$16,006,000",,,,,,Bird Rights,"$15,256,000"
17,Paul George,IND,"$15,925,680","$17,120,106","$18,314,532","$19,508,958","$20,703,384",,1st Round Pick,"$70,869,276"
18,Marc Gasol,MEM,"$15,829,688",,,,,,Bird Rights,"$15,829,688"
19,Brook Lopez,BRK,"$15,719,063","$16,744,219",,,,,Bird Rights,"$15,719,063"
20,Russell Westbrook,OKC,"$15,719,062","$16,744,218","$17,769,374",,,,Bird Rights,"$50,232,654"
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed
21,Kevin Love,CLE,"$15,719,062","$16,744,218",,,,,Cap Space,"$15,719,062"
22,David Lee,GSW,"$15,012,000","$15,493,680",,,,,Bird Rights,"$30,505,680"
23,Dwyane Wade,MIA,"$15,000,000","$16,125,000",,,,,Bird Rights,"$15,000,000"
24,Eric Gordon,NOP,"$14,898,938","$15,514,031",,,,,Bird Rights,"$14,898,938"
25,Roy Hibbert,IND,"$14,898,938","$15,514,031",,,,,Bird Rights,"$14,898,938"
26,John Wall,WAS,"$14,746,000","$15,851,950","$16,957,900","$18,063,850","$19,169,800",,1st Round Pick,"$78,782,188"
27,Gordon Hayward,UTA,"$14,746,000","$15,409,570","$16,073,140","$16,736,710",,,Bird Rights,"$46,228,710"
28,James Harden,HOU,"$14,728,844","$15,756,438","$16,784,031","$17,811,625",,,Bird Rights,"$56,175,126"
